1º Dios,LINEA ESPAÑOLA ,       Factor venta =,,,1.85,      Dólar =,,21.00
"Bisel 11/2""",Cristal ,ancho mts,altura mts,claro  6mm,tintex normal   6mm,filtrasol    6mm,satinov  claro   6mm,alusign 3mm
"$3,004",,1.00,2.00,"$1,533","$2,079","$1,806","$2,079","$1,960"
No. de pzas. en hueco,Cuadrícula Española  ,claros horizo,claros vert.,precio natural/ blanco,precio electro,precio inox / choco,precio hueso,precio madera
1,,12,22,"$7,940","$9,673","$10,024","$8,209","$13,634"
,FINESTRA ventanas y puertas corredizas,,,1.01,1.15,1.29,1.03,1.63
cve,descripciòn,,,precio natural/ blanco,precio electro,precio inox / choco,precio hueso,precio madera
FICCS,"Finestra ,doble corrediza , sin mosquitero",,,"$5,696","$6,549","$7,370","$5,854","$9,292"
FICCML,"Finestra ,doble corrediza, con mosquitero ligero",,,"$6,722","$7,729","$8,697","$6,909","$10,966"
FICCMP,"Finestra, doble corrediza , con mosquitero pesado",,,"$8,444","$9,709","$10,926","$8,680","$13,776"
FICFCS,"Finestra, doble corrediza con fijo central x/2 ,sin mosquitero",,,"$7,185","$8,261","$9,296","$7,385","$11,721"
FICFCML,"Finestra, doble corrediza con fijo central x/2,  con mosquitero ligero",,,"$8,651","$9,947","$11,194","$8,892","$14,114"
FICFCMP,"Finestra, doble corrediza con fijo central x/2,  con mosquitero pesado",,,"$11,512","$13,236","$14,895","$11,833","$18,780"
FI3CS,"Finestra ,triple corrediza  , sin mosquitero",,,"$8,301","$9,545","$10,741","$8,533","$13,543"
FI3CML,"Finestra, triple corrediza,  con mosquitero ligero",,,"$9,256","$10,642","$11,976","$9,514","$15,100"
FIFCCFS,"Finestra, fijo-corr-corr-fijo sin mosquitero",,,"$8,315","$9,561","$10,759","$8,547","$13,565"
FIFCCFML,"Finestra ,fijo-corr-corr-fijo, con mosquitero ligero",,,"$10,037","$11,541","$12,987","$10,317","$16,375"
FIFCCFMP,"Finestra ,fijo-corr-corr-fijo , con mosquitero pesado",,,"$12,972","$14,915","$16,785","$13,334","$21,163"
,SERIE 3500 ventanas y puertas corredizas,,,1.03,1.23,1.26,1.04,1.76
cve,descripciòn,,,precio natural/ blanco,precio electro,precio inox / choco,precio hueso,precio madera
35CCS,"serie 3500, doble corrediza, sin mosquitero",,,"$4,149","$5,055","$5,238","$4,290","$7,124"
35CCML,"serie 3500, doble corrediza,con mosquitero ligero",,,"$5,188","$6,320","$6,549","$5,363","$8,908"
35CFCS,"serie 3500,doble corrediza con fijo central a x/2, sin mosquitero",,,"$4,972","$6,057","$6,276","$5,140","$8,537"
35CFCML,"serie 3500, doble corrediza con fijo central a x/2, con mosquitero ligero",,,"$6,609","$8,051","$8,343","$6,833","$11,348"
35FCCFS,"serie 3500, fijo-corr-corr-fijo,sin mosquitero ",,,"$5,925","$7,218","$7,479","$6,126","$10,173"
